,DDEC,EQeq,Qeq
493,-0.673791,-0.31400,-0.261163
494,-0.678898,-0.32700,-0.261163
495,-0.613943,-0.32500,-0.261163
496,-0.700223,-0.31600,-0.261163
497,-0.696886,-0.33200,-0.261163
498,-0.625936,-0.29600,-0.261163
499,-0.62865,-0.31600,-0.261163
500,-0.666056,-0.33300,-0.261163
501,-0.370087,-0.15800,-0.261163
502,-0.380069,-0.15400,-0.261163
503,-0.40034,-0.16600,-0.261163
504,-0.739599,-0.34600,-0.261163
505,-0.637968,-0.30400,-0.261163
506,-0.645573,-0.33100,-0.261163
507,-0.673792,-0.31300,-0.261163
508,-0.678898,-0.32100,-0.261163
509,-0.613943,-0.32500,-0.261163
510,-0.700223,-0.31500,-0.261163
511,-0.696886,-0.33700,-0.261163
512,-0.625937,-0.30200,-0.261163
513,-0.62865,-0.31400,-0.261163
514,-0.666056,-0.32700,-0.272985
515,-0.370087,-0.16200,-0.272985
516,-0.38007,-0.15400,-0.272985
517,-0.40034,-0.16300,-0.272985
518,-0.739599,-0.34700,-0.272985
519,-0.637968,-0.30300,-0.272985
520,-0.645573,-0.33100,-0.272985
521,-0.673792,-0.31300,-0.272985
522,-0.678898,-0.31900,-0.272985
523,-0.613943,-0.32600,-0.272985
524,-0.700223,-0.31400,-0.272985
525,-0.696886,-0.33700,-0.272985
526,-0.625937,-0.29700,-0.272985
527,-0.62865,-0.31400,-0.272985
528,-0.666056,-0.32500,-0.272985
529,-0.370087,-0.16200,-0.272985
530,-0.38007,-0.15400,-0.272985
531,-0.40034,-0.16300,-0.272985
532,-0.7396,-0.34600,-0.272985
533,-0.637968,-0.30400,-0.272985
534,-0.645572,-0.33000,-0.272985
535,-0.673791,-0.31300,-0.272985
536,-0.678899,-0.32000,-0.272985
537,-0.613943,-0.32500,-0.272985
538,-0.700223,-0.31500,-0.272985
539,-0.696887,-0.33700,-0.272985
540,-0.625936,-0.29700,-0.272985
541,-0.628651,-0.31400,-0.272985
542,-0.666056,-0.32700,-0.272985
543,-0.370088,-0.16200,-0.272985
544,-0.38007,-0.15400,-0.272985
545,-0.400341,-0.16300,-0.272985
546,-0.7396,-0.34700,-0.272985
547,-0.637968,-0.30300,-0.272985
548,-0.645572,-0.33100,-0.272985
549,-0.673791,-0.31300,-0.272985
550,-0.678899,-0.31700,-0.272985
551,-0.613943,-0.32500,-0.272985
552,-0.700223,-0.31400,-0.272985
553,-0.696887,-0.33700,-0.272985
554,-0.625936,-0.29300,-0.272985
555,-0.628651,-0.31400,-0.272985
556,-0.666056,-0.32500,-0.272985
557,-0.370088,-0.16200,-0.272985
558,-0.38007,-0.15400,-0.272985
559,-0.400341,-0.16300,-0.272985
560,-0.7396,-0.34400,-0.272985
561,-0.637968,-0.30400,-0.272985
562,-0.645572,-0.32900,-0.272985
563,-0.673792,-0.31300,-0.272985
564,-0.678899,-0.32700,-0.272985
565,-0.613943,-0.33700,-0.272985
566,-0.700223,-0.30600,-0.272985
567,-0.696887,-0.30100,-0.272985
568,-0.625937,-0.29600,-0.272985
569,-0.628651,-0.30400,-0.272985
570,-0.666056,-0.33700,-0.272985
571,-0.370088,-0.15900,-0.272985
572,-0.380071,-0.14400,-0.272985
573,-0.400341,-0.14400,-0.272985
574,-0.7396,-0.34300,-0.272985
575,-0.637968,-0.30400,-0.272985
576,-0.645572,-0.32900,-0.272985
577,-0.673792,-0.31500,-0.272985
578,-0.678899,-0.32700,-0.272985
579,-0.613943,-0.32500,-0.272985
580,-0.700223,-0.31400,-0.272985
581,-0.696887,-0.33100,-0.272985
582,-0.625937,-0.29600,-0.272985
583,-0.628651,-0.31600,-0.272985
584,-0.666056,-0.33300,-0.272985
585,-0.370088,-0.15900,-0.272985
586,-0.380071,-0.15200,-0.272985
587,-0.400341,-0.16600,-0.272985
588,-0.676073,-0.44600,-0.272985
589,-0.741811,-0.42900,-0.272985
590,-0.568497,-0.36700,-0.272985
591,-0.62787,-0.37700,-0.272985
592,-0.681101,-0.43100,-0.272985
