Name,LCD,PLD,LFPD,cm3_g,ASA_A2,ASA_m2_cm3,ASA_m2_g,NASA_A2,NASA_m2_cm3,NASA_m2_g,AV_A3,AV_VF,AV_cm3_g,NAV_A3,NAV_VF,NAV_cm3_g,OMS,chemical_formula,total_atoms
BEPMIU,10.07029,9.95474,10.07029,1.02149,314.9,1152.88,1128.62,0.0,0.0,0.0,497.664,0.1822,0.178366,0.0,0.0,0.0,0.0,Zn6H66C54N12Cl6O12,156
BEPNIV,10.32219,10.19883,10.32219,0.893387,360.62,1327.54,1485.96,0.0,0.0,0.0,581.867,0.2142,0.239762,0.0,0.0,0.0,6.0,Zn6H60C54N12O12,144
BEPNOB,10.36311,10.23127,10.36311,0.890303,364.797,1338.28,1503.17,0.0,0.0,0.0,556.624,0.2042,0.22936,0.0,0.0,0.0,6.0,Zn6H60C54N12O12,144
BEPNUH,10.32563,10.2098,10.32563,1.16569,311.637,1123.64,963.926,0.0,0.0,0.0,508.654,0.1834,0.157332,0.0,0.0,0.0,0.0,Zn6H66C54Br6N12O12,156
BEPPAP,9.9082,9.78954,9.90791,1.03173,312.407,1155.21,1119.69,0.0,0.0,0.0,473.256,0.175,0.169618,0.0,0.0,0.0,0.0,Zn6H66C54N12Cl6O12,156
BEPPIX,9.77409,9.63706,9.77409,0.990438,348.493,1270.65,1282.92,0.0,0.0,0.0,477.767,0.1742,0.175882,0.0,0.0,0.0,6.0,Zn6H90C66N12O12,186
BEPPOD,10.03622,9.89092,10.03622,0.960732,362.494,1286.82,1339.42,0.0,0.0,0.0,505.366,0.1794,0.186733,0.0,0.0,0.0,6.0,Zn6H84C66N12O12,180
BERFIP,4.07847,2.71437,4.07847,1.95363,0.0,0.0,0.0,16.3246,156.8,80.2609,0.0,0.0,0.0,1.24933,0.0012,0.000614241,4.0,Zn6H16C28N16O16,82
BERGAI,5.28761,2.67572,5.28761,1.49712,0.0,0.0,0.0,232.847,569.174,380.18,0.0,0.0,0.0,81.001,0.0198,0.0132254,0.0,Zn16H80C96N64O32,288
BIBBUL,3.85878,3.31702,3.85878,1.32039,43.2119,163.346,123.71,0.0,0.0,0.0,3.17451,0.0012,0.00090882,0.0,0.0,0.0,0.0,Zn4H96C96N24O16,236
BICDAU,11.50132,6.68644,11.17198,0.65299,1244.49,2376.53,3639.46,0.0,0.0,0.0,2034.93,0.3886,0.595108,0.0,0.0,0.0,8.0,Zn10H36C72N36,154
BIYTEJ,6.55677,6.40414,6.53551,1.38595,220.188,1095.7,790.58,0.0,0.0,0.0,178.85,0.089,0.0642158,0.0,0.0,0.0,0.0,Zn6H12C36N60,114
BOLPEY,7.16659,5.73903,7.16659,0.890275,856.446,2082.49,2339.16,0.0,0.0,0.0,751.784,0.1828,0.20533,0.0,0.0,0.0,4.0,Zn8Si4H64C88O28,192
BOMCUB,2.92768,2.6766,2.92768,1.9232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,In3H12C12N3O24,54
BONWAD,3.83514,2.72512,3.83347,1.91868,0.0,0.0,0.0,19.1935,147.891,77.0798,0.0,0.0,0.0,2.33606,0.0018,0.000938147,4.0,Zn8H16C32O36,92
BONWIL,3.70731,2.93141,3.70731,1.7315,0.0,0.0,0.0,24.4046,115.861,66.914,0.0,0.0,0.0,1.68509,0.0008,0.000462028,0.0,Zn8H56C72N8O40,184
BOWQAG,3.49003,3.13948,3.48099,1.46384,0.0,0.0,0.0,8.27019,42.02,28.7054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zn4H48C72N40,164
BUKMUQ,5.78794,5.06217,5.71305,0.851411,521.93,2902.57,3409.13,0.0,0.0,0.0,308.205,0.1714,0.201313,0.0,0.0,0.0,4.0,Zn4H12C28N4O16,64
BUVXOG,6.82532,5.20994,6.82532,1.26745,150.394,764.807,603.424,0.0,0.0,0.0,99.8944,0.0508,0.0400806,0.0,0.0,0.0,0.0,Fe3H48C72N30,153
BUVYEX,7.01349,5.55881,7.01349,1.21167,320.071,778.025,642.11,0.0,0.0,0.0,218.036,0.053,0.0437413,0.0,0.0,0.0,0.0,Fe6H96C144N60,306
BUVYIB,10.88108,8.55613,10.68061,0.702067,789.01,2222.57,3165.74,0.0,0.0,0.0,705.74,0.1988,0.283164,0.0,0.0,0.0,0.0,Fe3H48C72N30,153
CADPII,5.8333,5.0586,5.8333,2.03698,55.3111,304.061,149.27,0.0,0.0,0.0,29.8329,0.0164,0.00805112,0.0,0.0,0.0,0.0,Zn12H30C54O48,144
CAHSOU,4.04164,2.77879,4.03629,2.29425,0.0,0.0,0.0,59.9498,203.01,88.4863,0.0,0.0,0.0,9.44977,0.0032,0.00139479,0.0,Fe20P28O112F16,176
CANRUG,6.57321,4.9271,6.57235,0.884567,783.759,1832.33,2071.45,0.0,0.0,0.0,388.386,0.0908,0.102649,0.0,0.0,0.0,0.0,Ca6Si4H68C112O32,222
CATART03,3.52552,2.45245,3.51752,1.33329,0.0,0.0,0.0,5.46029,58.2548,43.6925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ca4H16C16O24,60
CAWVIH,6.48494,4.72476,6.48494,1.23903,353.389,879.65,709.953,0.0,0.0,0.0,178.372,0.0444,0.0358346,0.0,0.0,0.0,0.0,Zn8H96C156N4O28,292
CAXVII,11.60285,10.81428,11.60285,1.12398,212.768,1569.91,1396.74,0.0,0.0,0.0,398.183,0.2938,0.261392,0.0,0.0,0.0,6.0,Fe6H6C24O18,54
